,Feature,Weight
0, n_tokens_title,0.4576180295863527
1, n_tokens_content,-0.1156833976300722
2, n_unique_tokens,-0.5863620745750046
3, n_non_stop_words,-0.5044106790260667
4, n_non_stop_unique_tokens,0.0538731798044184
5, num_hrefs,0.4270202884747544
6, num_self_hrefs,-2.049860647092766
7, num_imgs,0.5125231996034783
8, num_videos,0.5523079709757165
9, average_token_length,0.13355002261214619
10, num_keywords,0.1304885588270652
11, data_channel_is_lifestyle,-0.197617677525745
12, data_channel_is_entertainment,-0.6926785231408352
13, data_channel_is_bus,-0.510979382714021
14, data_channel_is_socmed,0.7909692905356789
15, data_channel_is_tech,0.15160257162180227
16, data_channel_is_world,-0.4158933268280623
17, kw_min_min,0.22391990513905755
18, kw_max_min,1.2280743774325784
19, kw_avg_min,-0.6142242637610572
20, kw_min_max,-0.4945015441036358
21, kw_max_max,-0.8067340188886203
22, kw_avg_max,0.14431501538741803
23, kw_min_avg,0.46497099069444225
24, kw_max_avg,0.5275130109568779
25, kw_avg_avg,0.7088845154627418
26, self_reference_min_shares,-0.2528856965736572
27, self_reference_max_shares,1.3030038017863128
28, self_reference_avg_sharess,0.08625567276771359
29, weekday_is_monday,-0.5434050193541498
30, weekday_is_tuesday,-0.6490272016558533
31, weekday_is_wednesday,-0.6545017043010622
32, weekday_is_thursday,-0.6013892219256967
33, weekday_is_friday,-0.37395799652546785
34, weekday_is_saturday,0.5742165612955552
35, weekday_is_sunday,0.2739304914756757
36, is_weekend,-0.04218866983097713
37, LDA_00,-0.32154750345436756
38, LDA_01,-1.0244268051046261
39, LDA_02,-1.4591582742061378
40, LDA_03,-0.8959143052474915
41, LDA_04,-0.635209258342683
42, global_subjectivity,0.31597763390579964
43, global_sentiment_polarity,0.979687172461446
44, global_rate_positive_words,-0.9334613180532239
45, global_rate_negative_words,0.04281969719957381
46, rate_positive_words,0.21229454940758244
47, rate_negative_words,0.0803970048831979
48, avg_positive_polarity,-0.9401039126134159
49, min_positive_polarity,-0.4322748301639616
50, max_positive_polarity,0.20435953890536637
51, avg_negative_polarity,0.8002079479412652
52, min_negative_polarity,-0.5498628485480113
53, max_negative_polarity,-0.5600721239280446
54, title_subjectivity,0.30935402694485903
55, title_sentiment_polarity,0.7330151654720205
56, abs_title_subjectivity,0.17911640211123095
57, abs_title_sentiment_polarity,-0.2602794173893852
